#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
mhpF|adhE	NE	NE|NE
queD	NE	NE
fabF|fabB	NE	NE|E
fabH	NE	NE
atoB	NE	NE
yohF	NE	NE
ydjG	NE	NE
yeaE|dkgA|dkgB|yghZ	NE	NE|NE|NE|NE
accA&accD	E	E&E
aceE&aceF	E	NE&E
aceF	E	E
argA	E	E
cysE	E	E
eutD|pta	NE	NE|NE
fadA	NE	NE
glcB|aceB	NE	NE|NE
glmU	E	E
kbl	NE	NE
maa	NE	NE
mnaT	NE	NE
nhoA	NE	NE
phnO	NE	NE
prpC|gltA	NE	NE|E
rffC	NE	NE
rimJ|rimI	NE	NE|NE
rimL	NE	NE
speG	NE	NE
tdcE	NE	NE
tmcA	NE	NE
ydbK	NE	NE
rfe	NE	NE
rffM	NE	NE
argB	E	E
eamB|eamA	NE	NE|NE
acpH	NE	NE
fabD	E	E
lpxA	E	E
lpxD	E	E
lpxL	NE	NE
lpxM	NE	NE
lpxP	NE	NE
plsB	E	E
tesA	NE	NE
yhdH	NE	NE
ttcA|thiI	NE	NE|NE
tesB|yciA	NE	NE|NE
yccX	NE	NE
adeD	NE	NE
adeP	NE	NE
adeQ	NE	NE
amn	NE	NE
apt	NE	NE
deoD	NE	NE
phnL&phnH&phnG&phnI	NE	NE&NE&NE&NE
queA	NE	NE
rihC	NE	NE
lysU	NE	NE
add	NE	NE
nupC	NE	NE
phoA|cpdB|umpG	NE	NE|NE|NE
nudF	NE	NE
bioC	NE	NE
cfa	NE	NE
cheR	NE	NE
cysG	E	E
mnmC	NE	NE
pcm	NE	NE
prmA	NE	NE
prmB	NE	NE
prmC	E	E
rimO	NE	NE
tam	NE	NE
tehB	NE	NE
trmA	NE	NE
trmD	E	E
trmI	NE	NE
trmO	NE	NE
ubiE	NE	NE
yfiC	NE	NE
yhdJ|dam	NE	NE|NE
apaH	NE	NE
entE|lysU	NE	NE|NE
cobC	NE	NE
cobS	NE	NE
btuR	NE	NE
cobU	NE	NE
thiF	NE	NE
thiI|thiF	NE	NE|NE
purA	E	E
purB	E	E
glnE	NE	NE
glgC	NE	NE
rfaD	NE	NE
rfaE	NE	NE
waaC	NE	NE
waaF	NE	NE
waaQ	NE	NE
waaU	E	E
nudE|nudF	NE	NE|NE
accC	E	E
aceK	NE	NE
ackA|tdcD	NE	NE|NE
adk	E	E
alsA&alsC&alsB	NE	NE&NE&NE
alsK	E	E
anmK	NE	NE
araB	E	E
araG&araH&araF	NE	NE&NE&NE
aroK|aroL	NE	NE|NE
artJ&artQ&artM&artP|hisQ&hisP&hisM&argT	NE	NE&NE&NE&NE|NE&NE&NE&NE
atpD&atpB	E	NE&E
bioD	E	E
btuD&btuC&btuF	NE	NE&NE&NE
carB&carA	E	E&E
ccmD&ccmE&ccmC&ccmB&ccmA	NE	NE&NE&NE&NE&NE
cmk	NE	NE
coaE	E	E
copA	NE	NE
cydD&cydC	E	NE&E
cysA&cysW&cysU&cysP|sbp&cysW&cysU&cysA	NE	NE&NE&NE&NE|NE&NE&NE&NE
cysC	E	E
dbpA	NE	NE
ddlB|ddlA	NE	NE|NE
dgkA	NE	NE
dppD&dppF&dppB&dppC&dppA	NE	NE&NE&NE&NE&NE
fecE&fecC&fecD&fecB	NE	NE&NE&NE&NE
fepC&fepD&fepG&fepB	NE	NE&NE&NE&NE
