#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
hyfG&hyfI&hyfA&hyfB&hyfC&hyfD&hyfE&hyfF&hyfH	NE	NE&NE&NE&NE&NE&NE&NE&NE&NE
epmC	NE	NE
csgG&csgE&csgF	NE	NE&NE&NE
fumA	NE	NE
entS	NE	NE
epd	NE	NE
ydiO|fadE	NE	NE|NE
dkgA	NE	NE
mdaB	NE	NE
crcB	NE	NE
cyoE	NE	NE
bfr|cueO	NE	NE|NE
hemH	E	E
mntH	NE	NE
yfeX|efeB	NE	NE|NE
zupT|feoB	NE	NE|NE
fecA	NE	NE
tonB&exbB&exbD&fepA	NE	NE&NE&NE&NE
phoA|ybjI|yigB	NE	NE|NE|NE
ssuE	NE	NE
solA	NE	NE
def	E	E
focA	NE	NE
frc	NE	NE
purU	NE	NE
fmt	E	E
phoA|yggF|ybhA|glpX|fbp	NE	NE|NE|NE|NE|NE
manA	NE	NE
mtlD	NE	NE
pgi	NE	NE
uhpT	NE	NE
frlB	NE	NE
frlA	NE	NE
frlC	NE	NE
gntP	NE	NE
